id;Fecha;Hora;Activo;Sesión;Operación;P. entrada;S. loss;Objetivo;Lotaje;P. salida 1;PNL;Coment 1;P. salida 2;Coment 2;Img. Entrada;Img estructura 1;Img estructura 2;Gestión;img_gestion1;img_gestion2;img_gestion3;img_gestion4
1;10/8/2023;07:20;EURUSD;;buy;1,10215;1,10193;;0,25;1,10198;-0,04;Cierre 50% al 61,8%;1,10216;Cierre x BE;https://www.tradingview.com/x/qT4uiljf/;https://www.tradingview.com/x/LXWcALwU/;https://www.tradingview.com/x/3xMywQNu/;Cierro 50% al tocar 61,8% de mi stop. Muevo el stop a be al romper estructura en M15. Cierre BE;https://www.tradingview.com/x/y79SpxhT/;https://www.tradingview.com/x/iSrxmFXb/;https://www.tradingview.com/x/uIJKljJY/;https://www.tradingview.com/x/uIJKljJY/
2;10/8/2023;08:38;EURUSD;;buy;1,10269;1,10242;;0,12;1,10242;-0,08;Cierre 50% al 61,8%;1,10242;Cierre x SL;https://www.tradingview.com/x/hcFjhpNd/;https://www.tradingview.com/x/HJykCpF0/;https://www.tradingview.com/x/ScRfnp87/;Cierro 50% al tocar 61,8% de mi stop. Cierre x SL;;https://www.tradingview.com/x/YCNUxDAZ/;;
3;10/8/2023;09:13;EURUSD;;buy;1,10228;1,10143;1,11314;0,06;1,1053;0,09;Cierre 50% al rompimiento max H1;1,10223;Cierre x BE;https://www.tradingview.com/x/USVe5bTA/;https://www.tradingview.com/x/g5ULJi1t/;https://www.tradingview.com/x/UCorVChP/;Cierro 50% al superar máximos de H1 y pongo BE. Cierre x BE;https://www.tradingview.com/x/D0hWg1kx/;https://www.tradingview.com/x/3Sx6iO67/;;
4;11/8/2023;07:50;EURUSD;;buy;1,09944;1,09761;;0,03;1,09971;-0,11;Cierre x SL;;;https://www.tradingview.com/x/UQy6n2tF/;https://www.tradingview.com/x/8CS5h5Uj/;https://www.tradingview.com/x/kFCtQcQo/;;https://www.tradingview.com/x/DYCp9IIE/;;;
5;11/8/2023;08:32;EURUSD;;buy;1,09954;1,0991;;0,12;1,10033;0,095;Cierre 50% en BOS de grado mayor;1,09955;Cierre x BE;https://www.tradingview.com/x/VRozQScO/;https://www.tradingview.com/x/UT1sAZyI/;https://www.tradingview.com/x/ahCI51TE/;Cierro 50% en BOS. Salida x BE;https://www.tradingview.com/x/JQL28H36/;https://www.tradingview.com/x/Jumav1g3/;;
6;11/8/2023;09:56;EURUSD;;buy;1,10008;1,09971;;0,16;1,09971;-0,1;Cierre x SL;;Cierre x SL;https://www.tradingview.com/x/UMVp3H2i/;;;Cierre x SL. Me comí la noticia. Me olvidé que venía la noticia.;https://www.tradingview.com/x/JkG0PffD/;;;
7;11/8/2023;09:53;EURUSD;;buy;1,09705;1,09654;;0,12;1,09654;-0,12;Cierre x SL;;;https://www.tradingview.com/x/Va2o7yTF/;https://www.tradingview.com/x/u9f0PtM3/;https://www.tradingview.com/x/GYN73Tc4/;Cierre x SL ;https://www.tradingview.com/x/2WiYvnbK/;;;
8;11/8/2023;10:05;EURUSD;;buy;1,09744;1,09654;;0,06;1,09654;;Cierre x SL;;;https://www.tradingview.com/x/y1UfgGR0/;https://www.tradingview.com/x/jL0ucacM/;https://www.tradingview.com/x/bvUf3qrP/;Cierre x SL;https://www.tradingview.com/x/NgwyWyQ5/;;;
9;11/8/2023;11:01;EURUSD;;buy;1,09728;1,0973;;0,03;1,0973;BE;Cierre x BE;;;https://www.tradingview.com/x/YFWQ0Psn/;https://www.tradingview.com/x/r28kwaLG/;https://www.tradingview.com/x/4lNJNNF7/;;;;;
10;11/8/2023;11:51;EURUSD;;sell;1,0945;1,09848;;0,05;;;;;;https://www.tradingview.com/x/ux2xFLIo/;https://www.tradingview.com/x/Spydspdw/;https://www.tradingview.com/x/xQR2nlZz/;;;;;
